realSum,room_type,person_capacity,business,cleanliness_rating,guest_satisfaction_overall,bedrooms
232.23115318819865,Private,2,0,10.0,97.0,0
774.2600707707451,Apartment,2,0,10.0,100.0,1
291.0505471844023,Private,2,0,9.0,90.0,1
604.5977550207392,Apartment,4,0,10.0,95.0,1
467.0400487427648,Apartment,2,0,10.0,97.0,1
744.4988634499567,Apartment,2,0,10.0,92.0,0
250.74403018301973,Private,2,0,10.0,94.0,1
544.1379795186652,Private,4,0,10.0,97.0,2
424.1557893750147,Apartment,2,0,10.0,97.0,1
675.6028402034074,Apartment,2,0,10.0,97.0,1
909.4743748974762,Apartment,4,0,10.0,98.0,2
264.1014224451058,Private,2,0,10.0,98.0,1
196.6114404893024,Private,2,0,10.0,97.0,1
700.442903006585,Apartment,4,0,9.0,97.0,2
307.22002202798024,Private,2,0,10.0,99.0,1
528.2028448902116,Private,4,0,10.0,93.0,1
675.6028402034074,Apartment,2,0,10.0,94.0,1
675.6028402034074,Apartment,4,0,10.0,98.0,1
515.7828134886229,Apartment,3,0,9.0,97.0,1
442.66866636983576,Apartment,2,0,10.0,100.0,1
596.1615072762637,Apartment,4,0,10.0,98.0,3
920.4883650083192,Apartment,4,0,10.0,99.0,3
718.9557800014061,Apartment,2,0,10.0,100.0,1
276.52145384669467,Private,2,0,10.0,96.0,1
988.2126871792468,Apartment,4,0,9.0,98.0,3
270.4286082534624,Private,2,0,10.0,98.0,1
798.6314531436741,Apartment,4,0,8.0,87.0,2
3637.6631593747807,Apartment,4,0,10.0,97.0,3
479.4600801443536,Apartment,3,0,9.0,92.0,1
934.0800974855296,Apartment,2,0,10.0,99.0,1
639.0457666440138,Apartment,4,0,10.0,94.0,2
1474.9373139924544,Private,5,0,10.0,99.0,2
1020.082956436154,Apartment,4,0,9.0,96.0,2
1192.088674337403,Apartment,4,0,10.0,98.0,2
798.6314531436741,Apartment,2,0,10.0,99.0,1
854.4044243432617,Apartment,4,0,10.0,98.0,3
614.4400440559605,Private,2,0,8.0,78.0,1
283.7860005155485,Private,2,0,9.0,92.0,1
870.105218756591,Apartment,4,0,10.0,98.0,3
180.20762543060016,Private,2,0,9.0,90.0,1
242.07344222342,Private,2,0,10.0,97.0,1
418.0629437817825,Private,4,0,9.0,91.0,1
281.4425983643053,Private,2,0,10.0,92.0,1
215.12431748412348,Private,2,1,10.0,93.0,1
448.5271717479437,Private,2,0,10.0,97.0,1
614.4400440559605,Apartment,2,0,10.0,98.0,1
279.09919621306216,Private,2,1,9.0,86.0,1
663.6514892320672,Apartment,2,0,8.0,80.0,1
279.09919621306216,Private,2,0,9.0,96.0,1
1044.6886790242074,Apartment,2,0,10.0,100.0,1
299.72113514400206,Private,2,0,9.0,93.0,1
405.6429123801936,Apartment,2,0,10.0,89.0,1
2556.183066576056,Apartment,6,0,10.0,99.0,3
985.6349448128794,Apartment,2,0,10.0,97.0,1
1214.116654559089,Apartment,4,0,9.0,93.0,0
305.8139807372343,Private,4,0,10.0,96.0,1
937.5952007123944,Private,4,1,9.0,92.0,1
292.45658847514824,Private,2,0,9.0,87.0,1
552.808567478265,Apartment,4,0,10.0,99.0,1
1228.880088111921,Apartment,4,0,8.0,80.0,2
251.91573125864133,Private,2,0,8.0,86.0,1
258.2429170669979,Private,2,0,9.0,91.0,1
562.8851967286106,Private,4,0,10.0,96.0,1
462.1189042251541,Apartment,2,1,10.0,90.0,0
458.369460783165,Apartment,2,0,10.0,99.0,1
184.4257493028379,Private,2,0,10.0,98.0,1
780.5872565791016,Apartment,4,0,10.0,100.0,2
228.71604996133388,Private,2,0,10.0,90.0,1
221.45150329248003,Private,2,0,10.0,100.0,1
385.9583343097509,Private,2,0,9.0,93.0,0
436.3414805614792,Apartment,3,0,9.0,90.0,1
626.3913950273006,Apartment,4,0,10.0,97.0,2
835.8915473484406,Apartment,2,0,10.0,100.0,1
833.3138049820731,Apartment,4,0,10.0,97.0,2
424.1557893750147,Apartment,2,0,10.0,96.0,1
602.254352869496,Apartment,4,0,10.0,97.0,1
1425.7258688163477,Apartment,4,0,9.0,95.0,2
737.2343167811028,Apartment,4,0,10.0,97.0,3
397.2066646357181,Apartment,3,0,9.0,91.0,1
290.1131863239051,Private,2,0,9.0,91.0,1
221.2171630773557,Private,2,0,9.0,95.0,1
245.82288566540907,Private,2,0,10.0,98.0,1
196.6114404893024,Private,2,0,8.0,87.0,1
258.0085768518736,Private,2,0,10.0,100.0,1
1413.3058374147588,Private,4,0,10.0,95.0,4
479.4600801443536,Apartment,2,0,9.0,95.0,1
920.4883650083192,Apartment,4,0,10.0,99.0,3
622.876291800436,Apartment,2,0,10.0,98.0,1
317.0623110632016,Private,2,0,10.0,95.0,1
344.2457760176224,Apartment,3,0,9.0,85.0,0
409.39235582218265,Apartment,4,0,9.0,91.0,2
282.6142994399269,Private,2,0,10.0,98.0,1
319.6400534295691,Private,2,1,9.0,94.0,1
290.1131863239051,Private,2,0,8.0,82.0,1
381.0371897921403,Private,2,0,10.0,91.0,1
276.52145384669467,Private,2,0,10.0,94.0,1
811.0514845452628,Apartment,2,0,10.0,98.0,1
1106.320155601903,Apartment,2,0,10.0,99.0,1
435.1697794858576,Apartment,2,0,10.0,93.0,1
381.0371897921403,Private,2,0,10.0,98.0,1
513.673751552504,Apartment,3,0,10.0,100.0,2
309.7977643943477,Private,2,1,10.0,93.0,1
516.0171537037471,Apartment,4,0,9.0,91.0,2
614.4400440559605,Private,4,0,10.0,92.0,1
737.2343167811028,Apartment,2,0,8.0,80.0,1
685.9138096688773,Apartment,4,0,10.0,98.0,2
823.4715159468517,Apartment,5,0,10.0,95.0,2
307.22002202798024,Apartment,2,0,9.0,94.0,1
1997.281653504558,Apartment,6,0,9.0,100.0,3
638.8114264288895,Apartment,2,0,9.0,99.0,1
1136.5500433529398,Apartment,4,0,10.0,97.0,3
